,Diag: Oppositional Defiant Disorder,Diag: Specific Phobia,Diag: No Diagnosis Given,Diag: ADHD-Inattentive Type,Diag: Language Disorder,Diag: Specific Learning Disorder with Impairment in Reading,Diag: ADHD-Combined Type,Diag: Generalized Anxiety Disorder,Diag: Social Anxiety (Social Phobia),Diag: Specific Learning Disorder with Impairment in Mathematics,Diag: Enuresis,Diag: Autism Spectrum Disorder
11,"[0.8326487745973433, 0.8156, 0.729]","[0.7433034615195233, 0.7608, 0.6308]","[0.7500270138851369, 0.6265, 0.7309]","[0.7199622649333416, 0.7101, 0.628]","[0.6234299601066147, 0.5547, 0.6193]","[0.5709929541954564, 0.5215, 0.5526]","[0.8079579162031887, 0.8351, 0.6911]","[0.8000775107961466, 0.7143, 0.771]","[0.8017142857142857, 0.69, 0.7577]","[0.5686558368350928, 0.5909, 0.5287]","[0.7643376195364417, 0.6265, 0.8834]","[0.8222595113139084, 0.8216, 0.6907]"
12,"[0.8326487745973433, 0.8156, 0.729]","[0.7464116893987887, 0.7608, 0.6274]","[0.7516005726943649, 0.6265, 0.7332]","[0.7187545354647427, 0.6775, 0.6609]","[0.6290350678535965, 0.6569, 0.5573]","[0.5740967878217971, 0.5215, 0.5551]","[0.8106100399620979, 0.8208, 0.7126]","[0.8016000442918836, 0.7337, 0.7552]","[0.8039942857142858, 0.68, 0.7634]","[0.5672017525878856, 0.6363, 0.513]","[0.7682816467664378, 0.6265, 0.8789]","[0.8214146668120162, 0.8216, 0.6895]"
13,"[0.8326487745973433, 0.8156, 0.729]","[0.7462208872913487, 0.7608, 0.6149]","[0.7518977254308714, 0.6265, 0.7354]","[0.7185135079098506, 0.7536, 0.608]","[0.6258122397784088, 0.5693, 0.6038]","[0.5760933262466441, 0.5484, 0.5374]","[0.8119335269641165, 0.7921, 0.7256]","[0.7972301754274957, 0.7013, 0.7747]","[0.8025657142857143, 0.7699, 0.7097]","[0.55869503945885, 0.5227, 0.5784]","[0.7700713166567615, 0.6265, 0.8789]","[0.8194329808605734, 0.8025, 0.7188]"
14,"[0.8326487745973433, 0.8156, 0.729]","[0.7464917031857796, 0.7608, 0.6149]","[0.7518504511318818, 0.6265, 0.7399]","[0.7179822106114325, 0.7355, 0.6094]","[0.6228289462223229, 0.5912, 0.599]","[0.5781750412254522, 0.5215, 0.5729]","[0.8119180776995016, 0.8064, 0.7069]","[0.8035575873578309, 0.7078, 0.7698]","[0.8064057142857144, 0.71, 0.7771]","[0.5748693245874756, 0.4318, 0.6753]","[0.7720568372143282, 0.6506, 0.8621]","[0.8194329808605734, 0.8025, 0.7188]"
15,"[0.8326487745973433, 0.8156, 0.729]","[0.7464917031857796, 0.7608, 0.6149]","[0.7487776216975526, 0.6265, 0.7421]","[0.7272656590159856, 0.663, 0.6867]","[0.6198630733585353, 0.5693, 0.6169]","[0.5718310914864331, 0.543, 0.545]","[0.8118279569892475, 0.8064, 0.7011]","[0.8038146384675008, 0.7402, 0.7466]","[0.8078285714285715, 0.73, 0.7543]","[0.5731526083837246, 0.4432, 0.6674]","[0.7812145442757578, 0.6385, 0.8666]","[0.8187088284303802, 0.8025, 0.7213]"
16,"[0.8326487745973433, 0.8156, 0.729]","[0.7464917031857796, 0.7608, 0.6149]","[0.7488384029391106, 0.6265, 0.7388]","[0.7289787688416165, 0.663, 0.6781]","[0.6163658693796491, 0.5693, 0.6002]","[0.5726317510936669, 0.5376, 0.5551]","[0.8116245416718164, 0.8208, 0.704]","[0.804858661436006, 0.7402, 0.7418]","[0.8088857142857143, 0.74, 0.7486]","[0.5769575689248745, 0.4773, 0.6471]","[0.7836457939380841, 0.6987, 0.7455]","[0.8187088284303802, 0.8025, 0.7213]"
17,"[0.8326487745973433, 0.8156, 0.729]","[0.7464486188389385, 0.7608, 0.6138]","[0.7510738019341942, 0.6265, 0.7466]","[0.7287584748398334, 0.6522, 0.681]","[0.6209475114541052, 0.562, 0.6181]","[0.5734290036387424, 0.5269, 0.5982]","[0.8117275367692498, 0.8172, 0.7026]","[0.8045581093693152, 0.7662, 0.7089]","[0.8084971428571428, 0.75, 0.7383]","[0.549105770216255, 0.5227, 0.54]","[0.7838754119617484, 0.6144, 0.8845]","[0.8195926058586267, 0.8089, 0.7127]"
18,"[0.8326487745973433, 0.8156, 0.729]","[0.7469594760943423, 0.7608, 0.6048]","[0.7542952077367767, 0.6385, 0.7511]","[0.7303964255354439, 0.7174, 0.6323]","[0.6108304444018606, 0.6423, 0.5382]","[0.5721717977022773, 0.4946, 0.6147]","[0.8143951097927739, 0.8315, 0.6796]","[0.8059343214641632, 0.7857, 0.6772]","[0.8065599999999999, 0.75, 0.744]","[0.5458581018755765, 0.5454, 0.4859]","[0.7840374952725702, 0.6024, 0.8845]","[0.8195926058586267, 0.8089, 0.7127]"
19,"[0.8326487745973433, 0.8156, 0.729]","[0.7481227534590575, 0.7717, 0.6036]","[0.7539305202874278, 0.6385, 0.7657]","[0.7301735398395223, 0.7174, 0.6309]","[0.6105386478058639, 0.5912, 0.574]","[0.5719571527862954, 0.457, 0.6616]","[0.8150568532937833, 0.8243, 0.6911]","[0.8069506620054732, 0.7792, 0.6906]","[0.8072342857142857, 0.71, 0.7771]","[0.5445641590652864, 0.5454, 0.487]","[0.7804784159057756, 0.6024, 0.8845]","[0.8202778253624654, 0.8152, 0.7127]"
20,"[0.8326487745973433, 0.8156, 0.729]","[0.7452730316608398, 0.7717, 0.6036]","[0.7555783672807823, 0.6144, 0.7713]","[0.7291161286309635, 0.7138, 0.6266]","[0.613064648189119, 0.5693, 0.6002]","[0.5753574008204205, 0.5753, 0.5323]","[0.8164627363737487, 0.8279, 0.6825]","[0.8094578989828685, 0.7727, 0.6955]","[0.80192, 0.7, 0.7771]","[0.5456339038638925, 0.5227, 0.5547]","[0.7810659679075045, 0.6024, 0.8845]","[0.8202778253624654, 0.8152, 0.7127]"
