,Diag: Oppositional Defiant Disorder,Diag: Specific Phobia,Diag: No Diagnosis Given,Diag: ADHD-Inattentive Type,Diag: Language Disorder,Diag: Specific Learning Disorder with Impairment in Reading,Diag: ADHD-Combined Type,Diag: Generalized Anxiety Disorder,Diag: Social Anxiety (Social Phobia),Diag: Specific Learning Disorder with Impairment in Mathematics,Diag: Enuresis,Diag: Autism Spectrum Disorder
31,"[0.6049458305695868, 0.5532, 0.6403]","[0.5558865527598602, 0.5543, 0.5538]","[0.6238991841806688, 0.5783, 0.6087]","[0.5192485123675644, 0.4601, 0.5479]","[0.657213037646116, 0.6204, 0.6301]","[0.6013703204001254, 0.5591, 0.5932]","[0.6724343921229349, 0.5556, 0.6954]","[0.565065567806128, 0.5844, 0.486]","[0.5940285714285714, 0.49, 0.6514]","[0.5290880906016193, 0.5568, 0.5209]","[0.568041223188719, 0.494, 0.602]","[0.850964757915064, 0.7707, 0.7836]"
32,"[0.6049670901576611, 0.5532, 0.6403]","[0.555714215372495, 0.5543, 0.5538]","[0.6193270841212383, 0.6747, 0.5482]","[0.5188804917998797, 0.4783, 0.5308]","[0.6559500374544884, 0.6204, 0.6336]","[0.601329435654224, 0.5645, 0.5881]","[0.6724395418778066, 0.5556, 0.6954]","[0.565065567806128, 0.5844, 0.486]","[0.5946457142857143, 0.49, 0.6514]","[0.5313941272932254, 0.5568, 0.531]","[0.568041223188719, 0.494, 0.602]","[0.8516382975409963, 0.7707, 0.7873]"
33,"[0.6062639250301887, 0.6312, 0.5516]","[0.5544401496873308, 0.5217, 0.5617]","[0.6181519801177805, 0.6144, 0.5841]","[0.5191396612137422, 0.4783, 0.5236]","[0.6545912234552201, 0.6058, 0.6384]","[0.5966174686890988, 0.5376, 0.597]","[0.6724343921229349, 0.5556, 0.6954]","[0.565065567806128, 0.5844, 0.486]","[0.5936, 0.47, 0.656]","[0.5302923542072359, 0.5454, 0.54]","[0.568041223188719, 0.494, 0.602]","[0.8513307274227959, 0.7707, 0.7848]"
34,"[0.6066295899450652, 0.6383, 0.5444]","[0.5557203702791866, 0.5217, 0.5606]","[0.618449132854287, 0.6144, 0.5863]","[0.5183647446662935, 0.4819, 0.5336]","[0.6546304200128913, 0.6058, 0.6384]","[0.5965459203837714, 0.5376, 0.5932]","[0.6724343921229349, 0.5556, 0.6954]","[0.565065567806128, 0.5844, 0.486]","[0.5956628571428572, 0.46, 0.6743]","[0.5284923644562878, 0.5454, 0.5366]","[0.568041223188719, 0.494, 0.602]","[0.8508907853549905, 0.7707, 0.7824]"
35,"[0.6067316359678215, 0.6383, 0.5516]","[0.5527475503471366, 0.5217, 0.5583]","[0.6187327786482252, 0.5783, 0.5998]","[0.5184424954904522, 0.4819, 0.5336]","[0.6545781579359964, 0.635, 0.6098]","[0.597837196941821, 0.5484, 0.5944]","[0.6724343921229349, 0.5556, 0.6954]","[0.565065567806128, 0.5844, 0.486]","[0.5930457142857143, 0.47, 0.664]","[0.5281016193502102, 0.5682, 0.5242]","[0.568041223188719, 0.494, 0.602]","[0.8521444255836046, 0.7707, 0.7812]"
36,"[0.6029729407962992, 0.6383, 0.5276]","[0.5521874538381998, 0.5217, 0.5538]","[0.6194081257766493, 0.5783, 0.5975]","[0.518678339657067, 0.4819, 0.535]","[0.6532977370520703, 0.635, 0.6098]","[0.595223980266296, 0.5323, 0.5957]","[0.6724343921229349, 0.5556, 0.6954]","[0.565065567806128, 0.5844, 0.486]","[0.5902057142857142, 0.58, 0.5714]","[0.5191849441426668, 0.5909, 0.4724]","[0.568041223188719, 0.494, 0.602]","[0.8521911450952299, 0.7707, 0.7824]"
37,"[0.6027560929979421, 0.6454, 0.5216]","[0.5522182283716579, 0.5435, 0.5481]","[0.6190569452698687, 0.5783, 0.5964]","[0.5191033774958015, 0.4746, 0.5336]","[0.6528970611292093, 0.635, 0.6026]","[0.5947197350668465, 0.4946, 0.6337]","[0.6724343921229349, 0.5556, 0.6954]","[0.565065567806128, 0.5844, 0.486]","[0.5892742857142856, 0.56, 0.5886]","[0.5193386799221072, 0.5909, 0.5006]","[0.568041223188719, 0.494, 0.602]","[0.8522767975332097, 0.7707, 0.7738]"
38,"[0.6033981325577835, 0.6454, 0.5312]","[0.5527475503471366, 0.5435, 0.5515]","[0.6202590631584635, 0.6144, 0.583]","[0.5206065600962037, 0.4638, 0.5651]","[0.6529536783791788, 0.6423, 0.5823]","[0.595663491284735, 0.543, 0.5868]","[0.6724343921229349, 0.5556, 0.6954]","[0.565065567806128, 0.5844, 0.486]","[0.5901085714285714, 0.63, 0.5474]","[0.5213564620272625, 0.6022, 0.4893]","[0.568041223188719, 0.494, 0.602]","[0.852366343263825, 0.7707, 0.7726]"
39,"[0.6034151402282429, 0.6454, 0.5312]","[0.5532153232556994, 0.5435, 0.5527]","[0.6201847749743368, 0.6144, 0.5818]","[0.520342207294064, 0.4819, 0.5308]","[0.654138285455464, 0.635, 0.5931]","[0.5947946904343323, 0.6129, 0.4918]","[0.6724343921229349, 0.5556, 0.6954]","[0.565065567806128, 0.5844, 0.486]","[0.5903714285714285, 0.63, 0.5566]","[0.5212475658501587, 0.5909, 0.4904]","[0.568041223188719, 0.494, 0.602]","[0.8524870353355241, 0.7707, 0.7738]"
40,"[0.6038530877425718, 0.6454, 0.5324]","[0.5527783248805949, 0.5435, 0.5606]","[0.6188138203036361, 0.6265, 0.5706]","[0.5205521345192926, 0.4783, 0.5336]","[0.6541557061477623, 0.635, 0.6074]","[0.5947026997560543, 0.5914, 0.5425]","[0.6724395418778066, 0.5556, 0.6954]","[0.565065567806128, 0.5844, 0.486]","[0.5896342857142857, 0.56, 0.5943]","[0.5209400942912781, 0.5909, 0.4893]","[0.568041223188719, 0.494, 0.602]","[0.8525298615545138, 0.7707, 0.7738]"
