,Diag: Oppositional Defiant Disorder,Diag: Specific Phobia,Diag: No Diagnosis Given,Diag: ADHD-Inattentive Type,Diag: Language Disorder,Diag: Specific Learning Disorder with Impairment in Reading,Diag: ADHD-Combined Type,Diag: Generalized Anxiety Disorder,Diag: Social Anxiety (Social Phobia),Diag: Specific Learning Disorder with Impairment in Mathematics,Diag: Enuresis,Diag: Autism Spectrum Disorder
35,"[0.8250038267258533, 0.8297, 0.6727]","[0.6732667782756413, 0.6087, 0.5968]","[0.7712936949592091, 0.6626, 0.7836]","[0.7205713130559184, 0.6377, 0.671]","[0.6297493162378272, 0.6642, 0.5263]","[0.580001226542377, 0.4731, 0.6046]","[0.8197637292464878, 0.7419, 0.7256]","[0.8201789075723303, 0.8441, 0.6553]","[0.78248, 0.66, 0.7634]","[0.5792764169314338, 0.5909, 0.5175]","[0.6195567021449024, 0.506, 0.6256]","[0.8139862644635821, 0.5478, 0.8631]"
36,"[0.8250038267258533, 0.8297, 0.6727]","[0.6732667782756413, 0.6087, 0.5968]","[0.7712936949592091, 0.6626, 0.7836]","[0.7205557628910867, 0.6377, 0.671]","[0.6276718986812536, 0.6496, 0.5394]","[0.5800216689153277, 0.4731, 0.6046]","[0.8195268405223911, 0.7383, 0.7299]","[0.8201789075723303, 0.8441, 0.6553]","[0.7824457142857142, 0.66, 0.7634]","[0.5792764169314338, 0.5909, 0.5175]","[0.6182060078880545, 0.5301, 0.6143]","[0.8127715571613224, 0.5796, 0.8484]"
37,"[0.8250038267258533, 0.8297, 0.6727]","[0.6732667782756413, 0.6087, 0.5968]","[0.7712936949592091, 0.6626, 0.7836]","[0.7205609462793638, 0.6377, 0.671]","[0.6276631883351045, 0.6496, 0.5394]","[0.5799330852992082, 0.4731, 0.6046]","[0.8194392946895728, 0.7921, 0.6868]","[0.8201868168372431, 0.8441, 0.6553]","[0.78248, 0.66, 0.7634]","[0.5792764169314338, 0.5909, 0.5175]","[0.6183951050840132, 0.5301, 0.6155]","[0.8126158254559045, 0.6242, 0.8252]"
38,"[0.8250038267258533, 0.8297, 0.6727]","[0.6732667782756413, 0.6087, 0.5968]","[0.7712936949592091, 0.6626, 0.7836]","[0.7205661296676411, 0.6377, 0.671]","[0.6281466125463826, 0.6715, 0.5322]","[0.5798581299317224, 0.4731, 0.6046]","[0.8194341449347011, 0.7921, 0.6868]","[0.8201868168372431, 0.8441, 0.6553]","[0.78248, 0.66, 0.7634]","[0.5792764169314338, 0.5909, 0.5175]","[0.6174631260467881, 0.5542, 0.6054]","[0.807686916979428, 0.5923, 0.846]"
39,"[0.8250038267258533, 0.8297, 0.6727]","[0.6732667782756413, 0.6087, 0.5968]","[0.7712936949592091, 0.6626, 0.7836]","[0.7205609462793638, 0.6377, 0.671]","[0.6321098200442485, 0.6934, 0.5048]","[0.5798513158074056, 0.4731, 0.6046]","[0.8195989370905945, 0.7813, 0.6896]","[0.8201789075723303, 0.8441, 0.6553]","[0.7825028571428572, 0.66, 0.7634]","[0.5792764169314338, 0.5909, 0.5175]","[0.6174090982765141, 0.5542, 0.6054]","[0.8076869169794278, 0.5923, 0.846]"
40,"[0.8250038267258533, 0.8297, 0.6727]","[0.6732667782756413, 0.6087, 0.5968]","[0.7712936949592091, 0.6626, 0.7836]","[0.7205609462793638, 0.6377, 0.671]","[0.6323798407748724, 0.7226, 0.4606]","[0.5794492824727094, 0.4731, 0.6008]","[0.8194238454249578, 0.7849, 0.6896]","[0.8201868168372431, 0.8441, 0.6553]","[0.7824685714285714, 0.66, 0.7634]","[0.5792764169314338, 0.5909, 0.5175]","[0.6178818412664109, 0.494, 0.6569]","[0.8076401974678026, 0.5987, 0.846]"
41,"[0.8250038267258533, 0.8297, 0.6727]","[0.6732667782756413, 0.6087, 0.5968]","[0.7713072019017775, 0.6626, 0.7836]","[0.7205609462793638, 0.6377, 0.671]","[0.6323972614671707, 0.7226, 0.4606]","[0.5794492824727094, 0.4731, 0.6008]","[0.8194289951798295, 0.7849, 0.6896]","[0.8201868168372431, 0.8441, 0.6553]","[0.7824457142857143, 0.66, 0.7634]","[0.5792764169314338, 0.5909, 0.5175]","[0.6178818412664109, 0.494, 0.6569]","[0.8076401974678026, 0.5987, 0.846]"
42,"[0.8250038267258533, 0.8297, 0.6727]","[0.6732667782756413, 0.6087, 0.5968]","[0.7712936949592091, 0.6626, 0.7836]","[0.7205557628910866, 0.6377, 0.671]","[0.6323885511210215, 0.7226, 0.4606]","[0.5794492824727094, 0.4731, 0.6008]","[0.8194289951798295, 0.7849, 0.6896]","[0.8201868168372431, 0.8441, 0.6553]","[0.78248, 0.66, 0.7634]","[0.5792764169314338, 0.5909, 0.5175]","[0.6178818412664109, 0.494, 0.6569]","[0.8076479840530735, 0.5987, 0.846]"
43,"[0.8250038267258534, 0.8297, 0.6727]","[0.6732667782756413, 0.6087, 0.5968]","[0.7712936949592091, 0.6626, 0.7836]","[0.7205557628910867, 0.6377, 0.671]","[0.6323885511210215, 0.7226, 0.4606]","[0.5794492824727094, 0.4731, 0.6008]","[0.8194341449347011, 0.7849, 0.6896]","[0.8201868168372431, 0.8441, 0.6553]","[0.7824685714285714, 0.66, 0.7634]","[0.5792764169314338, 0.5909, 0.5175]","[0.6178683343238422, 0.494, 0.6569]","[0.8076401974678026, 0.5987, 0.846]"
44,"[0.8250038267258533, 0.8297, 0.6727]","[0.6732544684622581, 0.6087, 0.5968]","[0.7712936949592091, 0.6626, 0.7836]","[0.720560946279364, 0.6377, 0.671]","[0.6323972614671707, 0.7226, 0.4606]","[0.5794560965970263, 0.4731, 0.6008]","[0.8194289951798295, 0.7849, 0.6896]","[0.8201868168372431, 0.8441, 0.6553]","[0.7824685714285714, 0.66, 0.7634]","[0.5792764169314338, 0.5909, 0.5175]","[0.6178818412664109, 0.494, 0.6569]","[0.8076479840530735, 0.5987, 0.846]"
45,"[0.8250038267258533, 0.8297, 0.6727]","[0.6732667782756413, 0.6087, 0.5968]","[0.7712936949592091, 0.6626, 0.7836]","[0.7205713130559184, 0.6377, 0.671]","[0.6323885511210215, 0.7226, 0.4606]","[0.5794629107213433, 0.4731, 0.6008]","[0.8194289951798295, 0.7849, 0.6896]","[0.8201868168372431, 0.8441, 0.6553]","[0.7824914285714285, 0.66, 0.7634]","[0.5792764169314338, 0.5909, 0.5175]","[0.6178818412664109, 0.494, 0.6569]","[0.8076479840530735, 0.5987, 0.846]"
46,"[0.8250038267258533, 0.8297, 0.6727]","[0.6732667782756413, 0.6087, 0.5968]","[0.7712936949592091, 0.6626, 0.7836]","[0.7205661296676411, 0.6377, 0.671]","[0.6323885511210215, 0.7226, 0.4606]","[0.5794492824727094, 0.4731, 0.6008]","[0.8194289951798295, 0.7849, 0.6896]","[0.8201868168372431, 0.8441, 0.6553]","[0.7824685714285714, 0.66, 0.7634]","[0.5792764169314338, 0.5909, 0.5175]","[0.6178818412664109, 0.494, 0.6569]","[0.8076401974678025, 0.5987, 0.846]"
47,"[0.8250038267258533, 0.8297, 0.6727]","[0.6732667782756413, 0.6087, 0.5968]","[0.7712936949592091, 0.6626, 0.7836]","[0.7205609462793638, 0.6377, 0.671]","[0.6323885511210215, 0.7226, 0.4606]","[0.5794560965970263, 0.4731, 0.6008]","[0.8194186956700862, 0.7849, 0.6896]","[0.8201868168372431, 0.8441, 0.6553]","[0.7824914285714285, 0.66, 0.7634]","[0.5792764169314338, 0.5909, 0.5175]","[0.6178818412664109, 0.494, 0.6569]","[0.8076401974678026, 0.5987, 0.846]"
48,"[0.8250038267258533, 0.8297, 0.6727]","[0.6732667782756413, 0.6087, 0.5968]","[0.7712936949592091, 0.6626, 0.7836]","[0.7205661296676412, 0.6377, 0.671]","[0.6323885511210215, 0.7226, 0.4606]","[0.5794492824727094, 0.4731, 0.6008]","[0.8194186956700862, 0.7849, 0.6896]","[0.8201868168372431, 0.8441, 0.6553]","[0.7824685714285714, 0.66, 0.7634]","[0.5792764169314338, 0.5909, 0.5175]","[0.6178818412664109, 0.494, 0.6569]","[0.8076401974678026, 0.5987, 0.846]"
49,"[0.8250038267258533, 0.8297, 0.6727]","[0.6732667782756413, 0.6087, 0.5968]","[0.7712936949592091, 0.6626, 0.7836]","[0.7205661296676412, 0.6377, 0.671]","[0.6323885511210215, 0.7226, 0.4606]","[0.5794492824727094, 0.4731, 0.6008]","[0.8194186956700862, 0.7849, 0.6896]","[0.8201868168372431, 0.8441, 0.6553]","[0.78248, 0.66, 0.7634]","[0.5792764169314338, 0.5909, 0.5175]","[0.6178818412664109, 0.494, 0.6569]","[0.8076401974678026, 0.5987, 0.846]"
50,"[0.8250038267258533, 0.8297, 0.6727]","[0.6732667782756413, 0.6087, 0.5968]","[0.7712936949592091, 0.6626, 0.7836]","[0.7205661296676411, 0.6377, 0.671]","[0.6323885511210215, 0.7226, 0.4606]","[0.5794492824727094, 0.4731, 0.6008]","[0.8194238454249578, 0.7849, 0.6896]","[0.820210544631982, 0.8441, 0.6553]","[0.7824685714285714, 0.66, 0.7634]","[0.5792764169314338, 0.5909, 0.5175]","[0.6178818412664109, 0.494, 0.6569]","[0.8076401974678025, 0.5987, 0.846]"
