,Diag: Oppositional Defiant Disorder,Diag: Specific Phobia,Diag: No Diagnosis Given,Diag: ADHD-Inattentive Type,Diag: Language Disorder,Diag: Specific Learning Disorder with Impairment in Reading,Diag: ADHD-Combined Type,Diag: Generalized Anxiety Disorder,Diag: Social Anxiety (Social Phobia),Diag: Specific Learning Disorder with Impairment in Mathematics,Diag: Enuresis,Diag: Autism Spectrum Disorder
32,"[0.7323928091569298, 0.5106, 0.7662]","[0.605790536215471, 0.6521, 0.5277]","[0.728483440488411, 0.6385, 0.6951]","[0.6864101926147084, 0.6956, 0.6037]","[0.6803041652875286, 0.6788, 0.6277]","[0.5692042465622743, 0.4301, 0.621]","[0.764723149178099, 0.6989, 0.6896]","[0.7206447632757012, 0.5844, 0.704]","[0.7915542857142858, 0.42, 0.8777]","[0.5400481705442247, 0.4091, 0.664]","[0.5017964233616079, 0.5422, 0.4608]","[0.8873826172270413, 0.7898, 0.8374]"
33,"[0.7323077708046329, 0.4965, 0.7746]","[0.605790536215471, 0.6521, 0.5277]","[0.7279701766708089, 0.6385, 0.6973]","[0.6862780162136386, 0.6993, 0.6023]","[0.6787450133268296, 0.6715, 0.6289]","[0.5680935442986222, 0.4355, 0.6236]","[0.7658251967206361, 0.6846, 0.7098]","[0.7209294968125664, 0.6234, 0.6857]","[0.78952, 0.43, 0.8674]","[0.5460182433124936, 0.3182, 0.7497]","[0.5017829164190394, 0.5422, 0.4608]","[0.8873592574712286, 0.8025, 0.824]"
34,"[0.7322992669694032, 0.4965, 0.7746]","[0.6058028460288543, 0.6521, 0.5277]","[0.7300907666540603, 0.6747, 0.685]","[0.6866615869461549, 0.6993, 0.6009]","[0.6805219239412574, 0.5693, 0.685]","[0.5678959346934326, 0.4409, 0.6248]","[0.7658354962303795, 0.6846, 0.7098]","[0.7223689830267175, 0.5714, 0.7186]","[0.7892342857142857, 0.48, 0.8548]","[0.5460566772573537, 0.3182, 0.752]","[0.5017694094764709, 0.5422, 0.4619]","[0.8888464952579698, 0.8216, 0.8142]"
35,"[0.732877527765022, 0.4752, 0.7914]","[0.605790536215471, 0.6521, 0.5277]","[0.7302933707925874, 0.6867, 0.6805]","[0.6880611017810123, 0.7065, 0.5966]","[0.6810009929794609, 0.6788, 0.611]","[0.5669385502269103, 0.457, 0.6096]","[0.7658251967206361, 0.6846, 0.7098]","[0.7175838777544015, 0.539, 0.7442]","[0.7910285714285714, 0.49, 0.8674]","[0.5474018653274573, 0.3409, 0.7429]","[0.5017829164190394, 0.5422, 0.4608]","[0.8893292635447652, 0.8025, 0.8215]"
36,"[0.7329030392707111, 0.4752, 0.7914]","[0.6058028460288543, 0.6521, 0.5277]","[0.7251607326165648, 0.6385, 0.7007]","[0.6879107835209719, 0.6558, 0.6295]","[0.678039475288748, 0.6569, 0.6229]","[0.5652895321422244, 0.4301, 0.6413]","[0.7657788489267912, 0.6882, 0.7126]","[0.7200594776721453, 0.539, 0.7393]","[0.7910971428571427, 0.48, 0.8674]","[0.5384851901199139, 0.4091, 0.6866]","[0.5018234372467448, 0.5422, 0.4608]","[0.8891813184246181, 0.7898, 0.8374]"
37,"[0.7348078983621613, 0.4397, 0.8034]","[0.605790536215471, 0.6521, 0.5277]","[0.7251607326165648, 0.6385, 0.7007]","[0.6874598287408513, 0.692, 0.5908]","[0.6790847168266466, 0.6496, 0.6277]","[0.5657869632173569, 0.4785, 0.5855]","[0.7663504717175461, 0.681, 0.7155]","[0.7196481958966733, 0.5454, 0.7393]","[0.7907657142857143, 0.51, 0.8491]","[0.5383442656554269, 0.4091, 0.6855]","[0.5017829164190394, 0.5422, 0.4608]","[0.8898042452462898, 0.777, 0.8398]"
38,"[0.734790890691702, 0.4397, 0.8034]","[0.605790536215471, 0.6521, 0.5277]","[0.7251607326165648, 0.6385, 0.7007]","[0.6875323961767328, 0.692, 0.5908]","[0.680225772172186, 0.4307, 0.7446]","[0.5662230671736376, 0.4731, 0.5906]","[0.7660723849544763, 0.6774, 0.7227]","[0.7203600297388362, 0.5519, 0.743]","[0.7922742857142856, 0.46, 0.8663]","[0.5377933791124321, 0.4091, 0.6753]","[0.5017964233616079, 0.5422, 0.4608]","[0.888519458676592, 0.7961, 0.8337]"
39,"[0.734000034015341, 0.4823, 0.789]","[0.605790536215471, 0.6521, 0.5277]","[0.7251607326165648, 0.6385, 0.7007]","[0.6875323961767328, 0.692, 0.5908]","[0.6803215859798268, 0.5474, 0.6933]","[0.5649897106722814, 0.4194, 0.6388]","[0.7660672351996044, 0.6774, 0.7227]","[0.7221000680196783, 0.5649, 0.7272]","[0.7896799999999999, 0.47, 0.8606]","[0.5389079635133749, 0.3523, 0.7103]","[0.5017829164190394, 0.5422, 0.4608]","[0.8864715867503465, 0.777, 0.8374]"
40,"[0.7327584740718063, 0.5319, 0.7338]","[0.605790536215471, 0.6521, 0.5277]","[0.7251607326165648, 0.6385, 0.7007]","[0.6869466733014037, 0.6811, 0.6009]","[0.6801909307875896, 0.438, 0.7542]","[0.5637495400466086, 0.4247, 0.6337]","[0.7660672351996044, 0.6774, 0.7227]","[0.7232785484917031, 0.5584, 0.7454]","[0.7894628571428571, 0.47, 0.8606]","[0.5395100953161832, 0.3637, 0.6979]","[0.5017964233616079, 0.5422, 0.4608]","[0.8849843489636056, 0.8216, 0.8191]"
41,"[0.7329540622820893, 0.5674, 0.7134]","[0.605790536215471, 0.6521, 0.5277]","[0.7251607326165648, 0.6385, 0.7007]","[0.6869570400779581, 0.6811, 0.6009]","[0.679215372018884, 0.5036, 0.7052]","[0.56379042479251, 0.4247, 0.6274]","[0.7665255633831829, 0.6523, 0.7442]","[0.7242751158707309, 0.5519, 0.7527]","[0.7897942857142857, 0.49, 0.8571]","[0.538177718561033, 0.3864, 0.6607]","[0.5017964233616079, 0.5422, 0.4608]","[0.8847040318938534, 0.828, 0.8056]"
