,Diag: Generalized Anxiety Disorder,Diag: Specific Phobia,Diag: Enuresis,Diag: Language Disorder,Diag: Autism Spectrum Disorder,Diag: No Diagnosis Given,Diag: Social Anxiety (Social Phobia),Diag: ADHD-Combined Type,Diag: Oppositional Defiant Disorder,Diag: Specific Learning Disorder with Impairment in Reading,Diag: ADHD-Inattentive Type,Diag: Specific Learning Disorder with Impairment in Mathematics
31,"[0.8516221902336396, 0.7532, 0.7893]","[0.7423740706090896, 0.6195, 0.7474]","[0.8887973418337025, 0.8553, 0.8531]","[0.7649600195111753, 0.7445, 0.6551]","[0.8910890318159874, 0.8216, 0.8252]","[0.7835107245123994, 0.7108, 0.75]","[0.84648, 0.73, 0.76]","[0.8523256293000454, 0.8387, 0.7011]","[0.8627991224042042, 0.8368, 0.7182]","[0.6335704648595609, 0.5699, 0.616]","[0.7884503742406337, 0.6956, 0.7267]","[0.6609229271292405, 0.5114, 0.6607]"
32,"[0.8516300994985526, 0.7467, 0.8027]","[0.7423740706090896, 0.6195, 0.7474]","[0.8887838348911341, 0.8553, 0.8531]","[0.7635053917042663, 0.7372, 0.6468]","[0.8897964586610189, 0.8089, 0.8288]","[0.783470203684694, 0.6747, 0.7758]","[0.8448000000000001, 0.75, 0.7394]","[0.8524801219461955, 0.8351, 0.7169]","[0.8627991224042042, 0.8368, 0.7158]","[0.6358531965057171, 0.5699, 0.6236]","[0.7898032385809955, 0.6739, 0.7539]","[0.6608973044993338, 0.5114, 0.6618]"
33,"[0.8524447537845834, 0.7467, 0.8027]","[0.7423740706090896, 0.6195, 0.7474]","[0.8888108487762711, 0.8553, 0.8531]","[0.7655871644339146, 0.7299, 0.6659]","[0.8899444037811658, 0.828, 0.813]","[0.7814981900696959, 0.6626, 0.7915]","[0.8454628571428572, 0.74, 0.7611]","[0.8524801219461955, 0.8351, 0.7169]","[0.8628841607565012, 0.8085, 0.759]","[0.6376044264551562, 0.5914, 0.6109]","[0.7918558603387862, 0.663, 0.774]","[0.6609101158142872, 0.5114, 0.6618]"
34,"[0.8517329199424205, 0.7467, 0.799]","[0.7423740706090896, 0.6195, 0.7474]","[0.8887973418337025, 0.8553, 0.8531]","[0.7714666480845949, 0.7737, 0.6432]","[0.8906997025524426, 0.8089, 0.8337]","[0.781052460964936, 0.7228, 0.7265]","[0.8452457142857143, 0.7, 0.7851]","[0.8524749721913236, 0.8351, 0.7169]","[0.8630627412963245, 0.8156, 0.759]","[0.6379996456655356, 0.4892, 0.6806]","[0.7919232443863904, 0.663, 0.774]","[0.6609229271292405, 0.5114, 0.6618]"
35,"[0.8513611844915134, 0.7532, 0.7759]","[0.7423740706090896, 0.6195, 0.7474]","[0.8889594251445243, 0.8553, 0.8531]","[0.7688796752782956, 0.7737, 0.636]","[0.8921480074128292, 0.7961, 0.8435]","[0.781052460964936, 0.7228, 0.7265]","[0.8439199999999999, 0.63, 0.8103]","[0.8524749721913236, 0.8351, 0.7169]","[0.8629691991087981, 0.7872, 0.7698]","[0.6335159518650257, 0.5108, 0.6515]","[0.7913478882876159, 0.6884, 0.7439]","[0.6609229271292405, 0.5114, 0.6607]"
36,"[0.8499928816615784, 0.7532, 0.7783]","[0.7423740706090896, 0.6195, 0.7474]","[0.8870279323572317, 0.8192, 0.8912]","[0.7686357855861192, 0.7737, 0.6289]","[0.8914627879089904, 0.8089, 0.8398]","[0.7810389540223677, 0.7228, 0.7276]","[0.8470285714285715, 0.63, 0.8183]","[0.8519342479297984, 0.8602, 0.6868]","[0.8629606952735683, 0.8014, 0.7662]","[0.6365482371860391, 0.5323, 0.6477]","[0.7915448570421513, 0.6667, 0.7797]","[0.6609229271292405, 0.5114, 0.6607]"
37,"[0.8501431576949238, 0.7532, 0.7661]","[0.7423617607957063, 0.6195, 0.7474]","[0.8870279323572317, 0.8192, 0.8912]","[0.768121875163319, 0.7737, 0.6313]","[0.8922725927771634, 0.8089, 0.8313]","[0.7809173915392511, 0.6506, 0.8217]","[0.8452000000000001, 0.64, 0.8126]","[0.8518930498908254, 0.8566, 0.6882]","[0.8626205418643809, 0.8014, 0.7686]","[0.6360031072406885, 0.5753, 0.5855]","[0.7915448570421513, 0.6667, 0.7797]","[0.6608973044993338, 0.5114, 0.6618]"
38,"[0.8494313238527611, 0.7792, 0.7527]","[0.7423617607957063, 0.6195, 0.7474]","[0.887014425414663, 0.8192, 0.8912]","[0.7685051303938818, 0.7591, 0.6384]","[0.894390543970847, 0.7643, 0.868]","[0.7819304122318872, 0.7349, 0.7321]","[0.843497142857143, 0.64, 0.8091]","[0.851867301116467, 0.8602, 0.6853]","[0.8624759766654762, 0.8085, 0.7662]","[0.638442563746133, 0.5806, 0.602]","[0.7926903858514234, 0.6884, 0.7339]","[0.6609229271292405, 0.5114, 0.6607]"
39,"[0.8504041634370503, 0.7792, 0.7552]","[0.7423740706090896, 0.6195, 0.7474]","[0.887149494840348, 0.8192, 0.8912]","[0.766675957702559, 0.7372, 0.6611]","[0.8945073427499106, 0.8152, 0.824]","[0.7819304122318872, 0.7349, 0.7321]","[0.8425942857142857, 0.64, 0.8148]","[0.8518467020969802, 0.8602, 0.6853]","[0.8635304522339575, 0.7943, 0.7674]","[0.6401665371983046, 0.6021, 0.5995]","[0.792680019074869, 0.6884, 0.7339]","[0.6609229271292405, 0.5114, 0.6607]"
40,"[0.851195089928342, 0.7337, 0.8051]","[0.7423740706090896, 0.6195, 0.7474]","[0.8871630017829164, 0.8192, 0.8912]","[0.7705085100081878, 0.7445, 0.6694]","[0.894398330556118, 0.8089, 0.8288]","[0.7818898914041817, 0.7349, 0.7321]","[0.842742857142857, 0.74, 0.7646]","[0.8518570016067235, 0.8602, 0.6853]","[0.8637260404442404, 0.8014, 0.7686]","[0.6408547637543098, 0.6021, 0.5995]","[0.7928458874997407, 0.6594, 0.7825]","[0.6609229271292405, 0.5114, 0.6607]"
