,Diag: Oppositional Defiant Disorder,Diag: Specific Phobia,Diag: No Diagnosis Given,Diag: ADHD-Inattentive Type,Diag: Language Disorder,Diag: Specific Learning Disorder with Impairment in Reading,Diag: ADHD-Combined Type,Diag: Generalized Anxiety Disorder,Diag: Social Anxiety (Social Phobia),Diag: Specific Learning Disorder with Impairment in Mathematics,Diag: Enuresis,Diag: Autism Spectrum Disorder
31,"[0.8441884790040308, 0.8156, 0.7314]","[0.6957260327933428, 0.6304, 0.6568]","[0.7642093035820411, 0.6867, 0.7354]","[0.7540715514917792, 0.721, 0.6438]","[0.6789061547305891, 0.4161, 0.7912]","[0.6214890224457256, 0.6183, 0.5741]","[0.8268060190334939, 0.7419, 0.7529]","[0.8349573690621195, 0.8246, 0.6663]","[0.8105085714285715, 0.64, 0.8023]","[0.551533514399918, 0.4432, 0.6313]","[0.8171295045653466, 0.7228, 0.9047]","[0.8396274897606405, 0.8025, 0.7372]"
32,"[0.8444691055666105, 0.8085, 0.7302]","[0.6957260327933428, 0.6304, 0.6568]","[0.7640877410989247, 0.6867, 0.7343]","[0.7540767348800563, 0.721, 0.6438]","[0.6748122920404858, 0.5693, 0.6766]","[0.6268108535372119, 0.6021, 0.5919]","[0.8267854200140073, 0.7419, 0.7529]","[0.8346489077305156, 0.7857, 0.7016]","[0.81092, 0.65, 0.8]","[0.5528402685251614, 0.4205, 0.6358]","[0.8171295045653466, 0.7228, 0.9047]","[0.840624172675315, 0.8025, 0.7188]"
33,"[0.8439503716175996, 0.8085, 0.729]","[0.6957260327933428, 0.6304, 0.6568]","[0.7640877410989247, 0.6867, 0.7343]","[0.7544888142480977, 0.6775, 0.6881]","[0.6733576642335767, 0.5401, 0.7041]","[0.6268244817858457, 0.6021, 0.5919]","[0.8268008692786223, 0.7419, 0.7529]","[0.8346409984656027, 0.8052, 0.6857]","[0.8112971428571429, 0.65, 0.8034]","[0.5512580711284206, 0.4205, 0.6404]","[0.8171295045653466, 0.7228, 0.9047]","[0.8407565446249202, 0.8025, 0.72]"
34,"[0.8449283126690137, 0.7872, 0.7578]","[0.6957260327933428, 0.6304, 0.6568]","[0.7642093035820412, 0.6867, 0.7343]","[0.7544991810246522, 0.6775, 0.6881]","[0.6728437538107763, 0.5255, 0.7088]","[0.6268006323507365, 0.6021, 0.5932]","[0.8268008692786224, 0.7419, 0.7529]","[0.8353291045130267, 0.7662, 0.732]","[0.8106628571428571, 0.63, 0.8217]","[0.5515591370298247, 0.4318, 0.6302]","[0.8171295045653466, 0.7228, 0.9047]","[0.8405190537741578, 0.8025, 0.7262]"
35,"[0.8449283126690137, 0.7872, 0.7578]","[0.6957260327933428, 0.6304, 0.6568]","[0.7642093035820412, 0.6867, 0.7343]","[0.7542503783873443, 0.6558, 0.711]","[0.6761754612128286, 0.5036, 0.6993]","[0.6260578928001963, 0.6021, 0.5906]","[0.8268060190334939, 0.7419, 0.7529]","[0.8370137779394783, 0.7727, 0.7332]","[0.8111428571428572, 0.73, 0.7566]","[0.5520331556830993, 0.4659, 0.6133]","[0.8171295045653466, 0.7228, 0.9047]","[0.8405696665784187, 0.7961, 0.731]"
36,"[0.8449283126690137, 0.7872, 0.7578]","[0.6957260327933428, 0.6304, 0.6568]","[0.7657355880922795, 0.6265, 0.7657]","[0.7542296448342353, 0.6558, 0.711]","[0.6761493301743812, 0.5985, 0.6241]","[0.6284564645597395, 0.5806, 0.6223]","[0.826806019033494, 0.7419, 0.7529]","[0.8362465792429252, 0.8506, 0.6577]","[0.8101257142857142, 0.71, 0.7657]","[0.5537883058317106, 0.4773, 0.6088]","[0.8171295045653466, 0.7228, 0.9047]","[0.8409628891345989, 0.7961, 0.7555]"
37,"[0.8449283126690137, 0.7872, 0.7578]","[0.6957260327933428, 0.6304, 0.6568]","[0.765722081149711, 0.6265, 0.7657]","[0.7527938462814373, 0.6775, 0.6795]","[0.6743027367907601, 0.5912, 0.6587]","[0.6284360221867888, 0.5806, 0.6223]","[0.8268060190334939, 0.7419, 0.7529]","[0.8364957210876821, 0.8506, 0.6468]","[0.8116799999999998, 0.71, 0.7669]","[0.5523470328994567, 0.4318, 0.6381]","[0.8171295045653466, 0.7228, 0.9047]","[0.8407137184059302, 0.777, 0.7689]"
38,"[0.8449368165042433, 0.7872, 0.7578]","[0.6957260327933428, 0.6304, 0.6568]","[0.765722081149711, 0.6265, 0.7657]","[0.7527990296697145, 0.6775, 0.6795]","[0.6762625646743201, 0.4672, 0.7339]","[0.6284564645597395, 0.5806, 0.6223]","[0.8267957195237507, 0.7419, 0.7529]","[0.8375318347912745, 0.7727, 0.7272]","[0.8121371428571428, 0.71, 0.7703]","[0.5522573536947832, 0.4318, 0.6358]","[0.8171295045653466, 0.7228, 0.9047]","[0.8414067244950401, 0.777, 0.7726]"
39,"[0.8449283126690137, 0.7872, 0.7578]","[0.6957260327933428, 0.6304, 0.6568]","[0.765722081149711, 0.6265, 0.7657]","[0.7527938462814373, 0.6775, 0.6795]","[0.6764803233280491, 0.4672, 0.7434]","[0.6284564645597395, 0.5806, 0.6223]","[0.8267957195237506, 0.7419, 0.7529]","[0.836400809908727, 0.8116, 0.6833]","[0.8112114285714287, 0.68, 0.792]","[0.554691503535923, 0.4432, 0.6268]","[0.8171295045653466, 0.7228, 0.9047]","[0.8414923769330198, 0.7834, 0.7567]"
40,"[0.8449283126690137, 0.7872, 0.7578]","[0.6957260327933428, 0.6304, 0.6568]","[0.765722081149711, 0.6265, 0.7657]","[0.7527731127283283, 0.6775, 0.6795]","[0.6778478476734666, 0.5474, 0.6981]","[0.6286506671027706, 0.5806, 0.6198]","[0.8268008692786223, 0.7419, 0.7529]","[0.8366301785912016, 0.8052, 0.6918]","[0.8070171428571428, 0.67, 0.8023]","[0.5583811622424926, 0.4659, 0.6077]","[0.8171295045653466, 0.7228, 0.9047]","[0.842477379969788, 0.8025, 0.7457]"
